KlasseMerkmalWert_Nr;KlasseMerkmal_Nr;Wert_ID;Klassifikationssystem_ID
1;1;AAA025v001;pc-5.0
2;1;AAA067v001;pc-5.0
3;1;AAA270v001;pc-5.0
4;1;AAE548v001;pc-5.0
5;4;AAA006v001;pc-5.0
6;4;AAA007v001;pc-5.0
7;4;AAA270v001;pc-5.0
8;4;AAA561v001;pc-5.0
9;4;AAA562v001;pc-5.0
10;4;AAB079v001;pc-5.0
11;4;AAB452v001;pc-5.0
12;4;AAE544v001;pc-5.0
13;4;AAE545v001;pc-5.0
14;5;AAA002v001;pc-5.0
15;5;AAA008v001;pc-5.0
16;5;AAA270v001;pc-5.0
17;5;AAA562v001;pc-5.0
18;5;AAB450v001;pc-5.0
19;5;AAE546v001;pc-5.0
20;5;AAE547v001;pc-5.0
21;12;AAA025v001;pc-5.0
22;12;AAA067v001;pc-5.0
23;12;AAA270v001;pc-5.0
24;12;AAE548v001;pc-5.0
25;15;AAA006v001;pc-5.0
26;15;AAA007v001;pc-5.0
27;15;AAA270v001;pc-5.0
28;15;AAA561v001;pc-5.0
29;15;AAA562v001;pc-5.0
30;15;AAB079v001;pc-5.0
31;15;AAB452v001;pc-5.0
32;15;AAE544v001;pc-5.0
33;15;AAE545v001;pc-5.0
34;16;AAA002v001;pc-5.0
35;16;AAA008v001;pc-5.0
36;16;AAA270v001;pc-5.0
37;16;AAA562v001;pc-5.0
38;16;AAB450v001;pc-5.0
39;16;AAE546v001;pc-5.0
40;16;AAE547v001;pc-5.0
41;21;AAA025v001;pc-5.0
42;21;AAA067v001;pc-5.0
43;21;AAA270v001;pc-5.0
44;24;AAA008v001;pc-5.0
45;24;AAA270v001;pc-5.0
46;24;AAE550v001;pc-5.0
47;26;AAA017v001;pc-5.0
48;26;AAA270v001;pc-5.0
49;26;AAB093v001;pc-5.0
50;27;AAA006v001;pc-5.0
51;27;AAA270v001;pc-5.0
52;27;AAA561v001;pc-5.0
53;27;AAA562v001;pc-5.0
54;27;AAB079v001;pc-5.0
55;27;AAB452v001;pc-5.0
56;27;AAE544v001;pc-5.0
57;27;AAE545v001;pc-5.0
58;28;AAA002v001;pc-5.0
59;28;AAA008v001;pc-5.0
60;28;AAA270v001;pc-5.0
61;28;AAA562v001;pc-5.0
62;28;AAB450v001;pc-5.0
63;28;AAE546v001;pc-5.0
64;28;AAE547v001;pc-5.0
65;31;AAA025v001;pc-5.0
66;31;AAA067v001;pc-5.0
67;31;AAA270v001;pc-5.0
68;34;AAA008v001;pc-5.0
69;34;AAA270v001;pc-5.0
70;34;AAE550v001;pc-5.0
71;36;AAA017v001;pc-5.0
72;36;AAA270v001;pc-5.0
73;36;AAB093v001;pc-5.0
74;37;AAA006v001;pc-5.0
75;37;AAA007v001;pc-5.0
76;37;AAA270v001;pc-5.0
77;37;AAA561v001;pc-5.0
78;37;AAA562v001;pc-5.0
79;37;AAB079v001;pc-5.0
80;37;AAB452v001;pc-5.0
81;37;AAE544v001;pc-5.0
82;37;AAE545v001;pc-5.0
83;38;AAA002v001;pc-5.0
84;38;AAA008v001;pc-5.0
85;38;AAA270v001;pc-5.0
86;38;AAA562v001;pc-5.0
87;38;AAB450v001;pc-5.0
88;38;AAE546v001;pc-5.0
89;38;AAE547v001;pc-5.0
90;41;AAA025v001;pc-5.0
91;41;AAA067v001;pc-5.0
92;41;AAA270v001;pc-5.0
93;41;AAE548v001;pc-5.0
94;44;AAA008v001;pc-5.0
95;44;AAA270v001;pc-5.0
96;44;AAE556v001;pc-5.0
97;46;AAA241v001;pc-5.0
98;46;AAA245v001;pc-5.0
99;46;AAA270v001;pc-5.0
100;46;AAA393v001;pc-5.0
101;46;AAA394v001;pc-5.0
102;46;AAA395v001;pc-5.0
103;47;AAA006v001;pc-5.0
104;47;AAA007v001;pc-5.0
105;47;AAA270v001;pc-5.0
106;47;AAA561v001;pc-5.0
107;47;AAA562v001;pc-5.0
108;47;AAB079v001;pc-5.0
109;47;AAB452v001;pc-5.0
110;47;AAE544v001;pc-5.0
111;47;AAE545v001;pc-5.0
112;48;AAA002v001;pc-5.0
113;48;AAA008v001;pc-5.0
114;48;AAA270v001;pc-5.0
115;48;AAA562v001;pc-5.0
116;48;AAB450v001;pc-5.0
117;48;AAE546v001;pc-5.0
118;48;AAE547v001;pc-5.0
119;50;AAA077v001;pc-5.0
120;50;AAA168v001;pc-5.0
121;50;AAA169v001;pc-5.0
122;50;AAA270v001;pc-5.0
123;50;EAB865v001;pc-5.0
124;53;AAA170v001;pc-5.0
125;53;AAA171v001;pc-5.0
126;53;AAA172v001;pc-5.0
127;53;AAA173v001;pc-5.0
128;53;AAA270v001;pc-5.0
129;53;EAB866v001;pc-5.0
130;53;EAB867v001;pc-5.0
131;53;EAB868v001;pc-5.0
132;55;AAA045v001;pc-5.0
133;55;AAA046v001;pc-5.0
134;55;AAA047v001;pc-5.0
135;55;AAA270v001;pc-5.0
136;62;AAA025v001;pc-5.0
137;62;AAA044v001;pc-5.0
138;62;AAA067v001;pc-5.0
139;62;AAA069v001;pc-5.0
140;62;AAA070v001;pc-5.0
141;62;AAA073v001;pc-5.0
142;62;AAA109v001;pc-5.0
143;62;AAA270v001;pc-5.0
144;62;EAB869v001;pc-5.0
145;62;EAB870v001;pc-5.0
146;62;EAB871v001;pc-5.0
147;62;EAB872v001;pc-5.0
148;62;EAB873v001;pc-5.0
149;65;AAA017v001;pc-5.0
150;65;AAA068v001;pc-5.0
151;65;AAA176v001;pc-5.0
152;65;AAA270v001;pc-5.0
153;66;AAA045v001;pc-5.0
154;66;AAA046v001;pc-5.0
155;66;AAA047v001;pc-5.0
156;66;AAA174v001;pc-5.0
157;66;AAA270v001;pc-5.0
158;68;AAA050v001;pc-5.0
159;68;AAA051v001;pc-5.0
160;68;AAA175v001;pc-5.0
161;68;AAA270v001;pc-5.0
162;72;AAA045v001;pc-5.0
163;72;AAA046v001;pc-5.0
164;72;AAA047v001;pc-5.0
165;72;AAA177v001;pc-5.0
166;72;AAA270v001;pc-5.0
167;72;EAB874v001;pc-5.0
168;74;AAA050v001;pc-5.0
169;74;AAA051v001;pc-5.0
170;74;AAA175v001;pc-5.0
171;74;AAA270v001;pc-5.0
172;75;AAA052v001;pc-5.0
173;75;AAA053v001;pc-5.0
174;75;AAA054v001;pc-5.0
175;75;AAA270v001;pc-5.0
176;79;AAA055v001;pc-5.0
177;79;AAA056v001;pc-5.0
178;79;AAA270v001;pc-5.0
179;82;AAA045v001;pc-5.0
180;82;AAA046v001;pc-5.0
181;82;AAA047v001;pc-5.0
182;82;AAA178v001;pc-5.0
183;82;AAA270v001;pc-5.0
184;84;AAA057v001;pc-5.0
185;84;AAA270v001;pc-5.0
186;84;EAB875v001;pc-5.0
187;84;EAB876v001;pc-5.0
188;84;EAB877v001;pc-5.0
189;85;AAA062v001;pc-5.0
190;85;AAA063v001;pc-5.0
191;85;AAA179v001;pc-5.0
192;85;AAA180v001;pc-5.0
193;85;AAA270v001;pc-5.0
194;86;AAA084v001;pc-5.0
195;86;AAA085v001;pc-5.0
196;86;AAA128v001;pc-5.0
197;86;AAA270v001;pc-5.0
198;91;AAA025v001;pc-5.0
199;91;AAA069v001;pc-5.0
200;91;AAA072v001;pc-5.0
201;91;AAA077v001;pc-5.0
202;91;AAA078v001;pc-5.0
203;91;AAA270v001;pc-5.0
204;91;AAC700v001;pc-5.0
205;92;AAA046v001;pc-5.0
206;92;AAA047v001;pc-5.0
207;92;AAA270v001;pc-5.0
208;97;AAA045v001;pc-5.0
209;97;AAA046v001;pc-5.0
210;97;AAA047v001;pc-5.0
211;97;AAA177v001;pc-5.0
212;97;AAA178v001;pc-5.0
213;97;AAA270v001;pc-5.0
214;100;AAA062v001;pc-5.0
215;100;AAA063v001;pc-5.0
216;100;AAA179v001;pc-5.0
217;100;AAA180v001;pc-5.0
218;100;AAA181v001;pc-5.0
219;100;AAA270v001;pc-5.0
220;101;AAA064v001;pc-5.0
221;101;AAA065v001;pc-5.0
222;101;AAA066v001;pc-5.0
223;101;AAA270v001;pc-5.0
224;102;AAA270v001;pc-5.0
225;102;AAA448v001;pc-5.0
226;102;AAB237v001;pc-5.0
227;105;AAA074v001;pc-5.0
228;105;AAA075v001;pc-5.0
229;105;AAA270v001;pc-5.0
230;106;AAA046v001;pc-5.0
231;106;AAA047v001;pc-5.0
232;106;AAA182v001;pc-5.0
233;106;AAA270v001;pc-5.0
234;110;AAA062v001;pc-5.0
235;110;AAA063v001;pc-5.0
236;110;AAA179v001;pc-5.0
237;110;AAA180v001;pc-5.0
238;110;AAA270v001;pc-5.0
239;110;EAB878v001;pc-5.0
240;111;AAA064v001;pc-5.0
241;111;AAA065v001;pc-5.0
242;111;AAA066v001;pc-5.0
243;111;AAA270v001;pc-5.0
244;112;AAA025v001;pc-5.0
245;112;AAA069v001;pc-5.0
246;112;AAA072v001;pc-5.0
247;112;AAA077v001;pc-5.0
248;112;AAA078v001;pc-5.0
249;112;AAA080v001;pc-5.0
250;112;AAA081v001;pc-5.0
251;112;AAA270v001;pc-5.0
252;112;AAC700v001;pc-5.0
253;112;EAA304v001;pc-5.0
254;112;EAA660v001;pc-5.0
255;112;EAB879v001;pc-5.0
256;118;AAA045v001;pc-5.0
257;118;AAA046v001;pc-5.0
258;118;AAA047v001;pc-5.0
259;118;AAA068v001;pc-5.0
260;118;AAA270v001;pc-5.0
261;123;AAA045v001;pc-5.0
262;123;AAA046v001;pc-5.0
263;123;AAA047v001;pc-5.0
264;123;AAA270v001;pc-5.0
265;123;AAE031v001;pc-5.0
266;123;EAB882v001;pc-5.0
268;128;AAA068v001;pc-5.0
269;128;AAA270v001;pc-5.0
270;128;AAC700v001;pc-5.0
