KlasseMerkmal_Nr;Klasse_ID;Merkmal_IDs;Einheit_ID;Sortier_Nr;Mussmerkmal
1,00;AAA000c004;AAA002f001;AAA001u001;1,00;TRUE
2,00;AAA000c004;AAD148f001;;2,00;TRUE
3,00;AAA000c004;AAD149f001;;3,00;TRUE
4,00;AAA000c004;AAD146f001;AAA003u001;4,00;TRUE
5,00;AAA000c004;AAD147f001;AAA003u001;5,00;TRUE
6,00;AAA000c004;AAB322f001;;6,00;TRUE
7,00;AAA000c004;AAD139f001;;7,00;TRUE
8,00;AAA000c004;AAD140f001;;8,00;TRUE
9,00;AAA000c004;AAD144f001;;9,00;FALSE
10,00;AAA000c004;AAA000f001;;10,00;TRUE
11,00;AAA000c004;AAA003f001;AAA002u001;11,00;TRUE
12,00;AAA002c003;AAA002f001;AAA001u001;1,00;TRUE
13,00;AAA002c003;AAD146f001;AAA003u001;2,00;TRUE
14,00;AAA002c003;AAD147f001;AAA003u001;3,00;TRUE
15,00;AAA002c003;AAB322f001;;4,00;TRUE
16,00;AAA002c003;AAD139f001;;5,00;TRUE
17,00;AAA002c003;AAD140f001;;6,00;TRUE
18,00;AAA002c003;AAD144f001;;7,00;FALSE
19,00;AAA002c003;AAA000f001;;8,00;TRUE
20,00;AAA002c003;AAA003f001;AAA002u001;9,00;TRUE
21,00;AAA004c004;AAA702f001;;1,00;TRUE
22,00;AAA004c004;AAA002f001;AAA001u001;2,00;TRUE
23,00;AAA004c004;AAB322f001;;3,00;TRUE
24,00;AAA004c004;AAD139f001;;4,00;TRUE
25,00;AAA004c004;AAA833f001;;5,00;TRUE
26,00;AAA004c004;AAD140f001;;6,00;TRUE
27,00;AAA004c004;AAD144f001;;7,00;TRUE
28,00;AAA004c004;AAA000f001;;8,00;TRUE
29,00;AAA004c004;AAB181f001;;9,00;FALSE
30,00;AAA004c004;AAA003f001;AAA002u001;10,00;TRUE
31,00;AAA005c004;AAA702f001;;1,00;TRUE
32,00;AAA005c004;AAA002f001;AAA001u001;2,00;TRUE
33,00;AAA005c004;AAB322f001;;3,00;TRUE
34,00;AAA005c004;AAD139f001;;4,00;TRUE
