Merkmal_IDs;Merkmal_ID;Merkmalbezeichnung;Datentyp;Klassifikationssystem_ID
AAA000;AAA000f001;Werkstoff;alphanumerisch;pc-5.1
AAA002;AAA002f001;Länge;numerisch;pc-5.1
AAA003;AAA003f001;Gewicht;numerisch;pc-5.1
AAA004;AAA004f001;Ausführung Griff;alphanumerisch;pc-5.1
AAA008;AAA008f001;Mit Öffnungsfeder;logisch;pc-5.1
AAA015;AAA015f001;Isoliert;logisch;pc-5.1
AAA019;AAA019f001;Einsatzbereich;alphanumerisch;pc-5.1
AAA021;AAA021f001;Spannweite;numerisch;pc-5.1
AAA022;AAA022f001;Größe;alphanumerisch;pc-5.1
AAA024;AAA024f001;Bohrungsdurchmesser;numerisch;pc-5.1
AAA025;AAA025f001;Scheibendurchmesser;numerisch;pc-5.1
AAA026;AAA026f001;Ausführung;alphanumerisch;pc-5.1
AAA028;AAA028f001;Kornart;alphanumerisch;pc-5.1
AAA029;AAA029f001;Korngröße;numerisch;pc-5.1
AAA030;AAA030f001;Schaftdurchmesser;numerisch;pc-5.1
AAA031;AAA031f001;Höhe;numerisch;pc-5.1
AAA032;AAA032f001;Durchmesser;numerisch;pc-5.1
AAA033;AAA033f001;Zulassung;alphanumerisch;pc-5.1
AAA035;AAA035f001;Lochform;alphanumerisch;pc-5.1
AAA036;AAA036f001;Dicke;numerisch;pc-5.1
AAA037;AAA037f001;Gewindeart;alphanumerisch;pc-5.1
AAA038;AAA038f001;Telleraufnahme;alphanumerisch;pc-5.1
AAA039;AAA039f001;Lochung;alphanumerisch;pc-5.1
AAA040;AAA040f001;Breite;numerisch;pc-5.1
AAA041;AAA041f001;Unterlage;alphanumerisch;pc-5.1
AAA042;AAA042f001;Streuart;alphanumerisch;pc-5.1
AAA044;AAA044f001;Stifthöhe;numerisch;pc-5.1
AAA045;AAA045f001;Arbeitsgeschwindigkeit;numerisch;pc-5.1
AAA046;AAA046f001;Spänsorte;numerisch;pc-5.1
AAA047;AAA047f001;Füllgewicht;numerisch;pc-5.1
AAA048;AAA048f001;Stahlwolle-Sorte;numerisch;pc-5.1
AAA050;AAA050f001;Stahlwolle-Form;alphanumerisch;pc-5.1
AAA051;AAA051f001;Stifthärte;numerisch;pc-5.1
AAA052;AAA052f001;Körnung;alphanumerisch;pc-5.1
AAA058;AAA058f001;Kleinster Radius;numerisch;pc-5.1
AAA059;AAA059f001;Gewicht mit Akkupack;numerisch;pc-5.1
AAA060;AAA060f001;Akkukapazität;numerisch;pc-5.1
AAA061;AAA061f001;Arbeitsbereich in Alu;numerisch;pc-5.1
AAA062;AAA062f001;Arbeitsbereich in Stahl;numerisch;pc-5.1
AAA063;AAA063f001;Gesamthub;numerisch;pc-5.1
AAA064;AAA064f001;Zugkraft;numerisch;pc-5.1
AAA065;AAA065f001;Setzkraft;numerisch;pc-5.1
AAA066;AAA066f001;Bohrdurchmesser Beton;numerisch;pc-5.1
AAA067;AAA067f001;Bohrdurchmesser Holz 1. Gang;numerisch;pc-5.1
AAA068;AAA068f001;Bohrdurchmesser Holz 2. Gang;numerisch;pc-5.1
AAA069;AAA069f001;Bohrdurchmesser Stahl 1. Gang;numerisch;pc-5.1
AAA070;AAA070f001;Bohrdurchmesser Stahl 2. Gang;numerisch;pc-5.1
AAA073;AAA073f001;Schnittlänge;numerisch;pc-5.1
AAA074;AAA074f001;Hubzahl;numerisch;pc-5.1
AAA075;AAA075f001;Schnitttiefe (45°);numerisch;pc-5.1
AAA077;AAA077f001;Sägeblattdurchmesser;numerisch;pc-5.1
AAA078;AAA078f001;Sägeblattbohrung;numerisch;pc-5.1
AAA079;AAA079f001;Nutzbare Messerlänge;numerisch;pc-5.1
AAA080;AAA080f001;Max. Aststärke;numerisch;pc-5.1
AAA081;AAA081f001;Gesamtlänge;numerisch;pc-5.1
AAA083;AAA083f001;Nennleistungsaufnahme;numerisch;pc-5.1
AAA088;AAA088f001;Max. Hublänge;numerisch;pc-5.1
AAA089;AAA089f001;Bohrdurchmesser Beton 1. Gang;numerisch;pc-5.1
AAA090;AAA090f001;Bohrdurchmesser Beton 2. Gang;numerisch;pc-5.1
AAA091;AAA091f001;Max. Drehmoment;numerisch;pc-5.1
AAA092;AAA092f001;Nagellänge;numerisch;pc-5.1
AAA095;AAA095f001;Bohrdurchmesser Holz;numerisch;pc-5.1
AAA096;AAA096f001;Bohrdurchmesser Stahl;numerisch;pc-5.1
AAA097;AAA097f001;Eckmaß;numerisch;pc-5.1
AAA098;AAA098f001;Maschinengewicht;numerisch;pc-5.1
AAA106;AAA106f001;Bohrdurchmesser Beton mit Bohrkrone;numerisch;pc-5.1
AAA108;AAA108f001;Max. Einzelschlagenergie;numerisch;pc-5.1
AAA109;AAA109f001;Werkzeugaufnahme;numerisch;pc-5.1
AAA110;AAA110f001;Leerlaufdrehzahl;numerisch;pc-5.1
AAA113;AAA113f001;Schleifplatte über Eck;numerisch;pc-5.1
