Wert_ID;Wertbezeichnung;Klassifikationssystem_ID
AAA002v001;Kunststoffhüllen;pc-5.1
AAA003v001;kunststoffüberzogen;pc-5.1
AAA004v001;schwarz;pc-5.1
AAA005v001;verchromt;pc-5.1
AAA006v001;vernickelt;pc-5.1
AAA007v001;poliert;pc-5.1
AAA008v001;ohne;pc-5.1
AAA009v001;klein;pc-5.1
AAA010v001;normal;pc-5.1
AAA011v001;rund;pc-5.1
AAA012v001;kurz;pc-5.1
AAA013v001;flach;pc-5.1
AAA017v001;gerade;pc-5.1
AAA022v001;glatt;pc-5.1
AAA024v001;spitz;pc-5.1
AAA025v001;Kunststoff;pc-5.1
AAA027v001;Federstahl;pc-5.1
AAA028v001;Stahl, gehärtet;pc-5.1
AAA030v001;brüniert;pc-5.1
AAA037v001;A1;pc-5.1
AAA038v001;A2;pc-5.1
AAA041v001;gekröpft;pc-5.1
AAA042v001;INOX;pc-5.1
AAA043v001;Nuclear;pc-5.1
AAA044v001;Alu;pc-5.1
AAA045v001;Zirkonkorund;pc-5.1
AAA046v001;Korund;pc-5.1
AAA047v001;Siliciumcarbid;pc-5.1
AAA048v001;SUVA;pc-5.1
AAA050v001;OSA;pc-5.1
AAA051v001;VBG 49;pc-5.1
AAA052v001;Sternloch;pc-5.1
AAA053v001;Rundloch;pc-5.1
AAA054v001;Kreuzschlitzlochung;pc-5.1
AAA055v001;Gewinde;pc-5.1
AAA056v001;Spannschaft;pc-5.1
AAA057v001;Elu;pc-5.1
AAA062v001;Gewebe;pc-5.1
AAA063v001;Papier;pc-5.1
AAA064v001;offen;pc-5.1
AAA065v001;dicht;pc-5.1
AAA066v001;halboffen;pc-5.1
AAA067v001;Stahl;pc-5.1
AAA068v001;Gummi;pc-5.1
AAA069v001;Holz;pc-5.1
AAA070v001;Blech;pc-5.1
AAA071v001;Edelstahl A2;pc-5.1
AAA072v001;Glas;pc-5.1
AAA073v001;Guss;pc-5.1
AAA074v001;nass;pc-5.1
AAA075v001;trocken;pc-5.1
AAA077v001;Stein;pc-5.1
AAA078v001;Metall;pc-5.1
AAA080v001;Lack;pc-5.1
AAA081v001;Spachtel;pc-5.1
AAA082v001;Band;pc-5.1
AAA083v001;Matte;pc-5.1
AAA084v001;grob;pc-5.1
AAA085v001;fein;pc-5.1
AAA086v001;stufenlos;pc-5.1
AAA087v001;Stufen;pc-5.1
AAA088v001;Mehrkomponenten;pc-5.1
AAA090v001;Edelstahl A4;pc-5.1
AAA091v001;verzinkt;pc-5.1
AAA092v001;blank;pc-5.1
AAA093v001;phosphatiert;pc-5.1
AAA094v001;Senkkopf;pc-5.1
AAA095v001;Pan-Head;pc-5.1
AAA096v001;Linsensenkkopf;pc-5.1
AAA097v001;Innensechsrund;pc-5.1
AAA098v001;Kreuzschlitz;pc-5.1
AAA099v001;Grobgewinde;pc-5.1
AAA100v001;Feingewinde;pc-5.1
AAA101v001;Teilgewinde;pc-5.1
AAA102v001;Trapezgewinde;pc-5.1
AAA103v001;Hi-Lo-Gewinde;pc-5.1
AAA104v001;Trompetenkopf;pc-5.1
AAA105v001;Regelgewinde;pc-5.1
AAA106v001;Doppelkopf;pc-5.1
AAA107v001;Messing;pc-5.1
AAA108v001;Schlitz;pc-5.1
AAA109v001;Edelstahl;pc-5.1
AAA110v001;vierkant;pc-5.1
AAA111v001;Sechskant;pc-5.1
AAA112v001;Aluminium;pc-5.1
