KlasseMerkmal_Nr;Klasse_ID;Merkmal_ID;Einheit_ID;Sortier_Nr;Mussmerkmal;Klassifikationssystem_ID
1;AAA000c004;AAA002f001;AAA001u001;1;TRUE;pc-6.0
2;AAA000c004;AAD148f001;;2;TRUE;pc-6.0
3;AAA000c004;AAD149f001;;3;TRUE;pc-6.0
4;AAA000c004;AAD146f001;AAA003u001;4;TRUE;pc-6.0
5;AAA000c004;AAD147f001;AAA003u001;5;TRUE;pc-6.0
6;AAA000c004;AAB322f001;;6;TRUE;pc-6.0
7;AAA000c004;AAD139f001;;7;TRUE;pc-6.0
8;AAA000c004;AAD140f001;;8;TRUE;pc-6.0
9;AAA000c004;AAD144f001;;9;FALSE;pc-6.0
10;AAA000c004;AAA000f001;;10;TRUE;pc-6.0
11;AAA000c004;AAA003f001;AAA002u001;11;TRUE;pc-6.0
12;AAA002c003;AAA002f001;AAA001u001;1;TRUE;pc-6.0
13;AAA002c003;AAD146f001;AAA003u001;2;TRUE;pc-6.0
14;AAA002c003;AAD147f001;AAA003u001;3;TRUE;pc-6.0
15;AAA002c003;AAB322f001;;4;TRUE;pc-6.0
16;AAA002c003;AAD139f001;;5;TRUE;pc-6.0
17;AAA002c003;AAD140f001;;6;TRUE;pc-6.0
18;AAA002c003;AAD144f001;;7;FALSE;pc-6.0
19;AAA002c003;AAA000f001;;8;TRUE;pc-6.0
20;AAA002c003;AAA003f001;AAA002u001;9;TRUE;pc-6.0
21;AAA004c004;AAA702f001;;1;TRUE;pc-6.0
22;AAA004c004;AAA002f001;AAA001u001;2;TRUE;pc-6.0
23;AAA004c004;AAB322f001;;3;TRUE;pc-6.0
24;AAA004c004;AAD139f001;;4;TRUE;pc-6.0
25;AAA004c004;AAA833f001;;5;TRUE;pc-6.0
26;AAA004c004;AAD140f001;;6;TRUE;pc-6.0
27;AAA004c004;AAD144f001;;7;TRUE;pc-6.0
28;AAA004c004;AAA000f001;;8;TRUE;pc-6.0
29;AAA004c004;AAB181f001;;9;FALSE;pc-6.0
30;AAA004c004;AAA003f001;AAA002u001;10;TRUE;pc-6.0
31;AAA005c004;AAA702f001;;1;TRUE;pc-6.0
32;AAA005c004;AAA002f001;AAA001u001;2;TRUE;pc-6.0
33;AAA005c004;AAB322f001;;3;TRUE;pc-6.0
34;AAA005c004;AAD139f001;;4;TRUE;pc-6.0
35;AAA005c004;AAA833f001;;5;TRUE;pc-6.0
36;AAA005c004;AAD140f001;;6;TRUE;pc-6.0
37;AAA005c004;AAD144f001;;7;FALSE;pc-6.0
38;AAA005c004;AAA000f001;;8;TRUE;pc-6.0
39;AAA005c004;AAB181f001;;9;FALSE;pc-6.0
40;AAA005c004;AAA003f001;AAA002u001;10;TRUE;pc-6.0
41;AAA010c003;AAA702f001;;1;TRUE;pc-6.0
42;AAA010c003;AAA002f001;AAA001u001;2;TRUE;pc-6.0
43;AAA010c003;AAB322f001;;3;TRUE;pc-6.0
44;AAA010c003;AAD139f001;;4;TRUE;pc-6.0
45;AAA010c003;AAA833f001;;5;TRUE;pc-6.0
46;AAA010c003;AAD144f001;;6;FALSE;pc-6.0
47;AAA010c003;AAA000f001;;7;TRUE;pc-6.0
48;AAA010c003;AAB181f001;;8;FALSE;pc-6.0
49;AAA010c003;AAA003f001;AAA002u001;9;TRUE;pc-6.0
50;AAA017c016;AAA019f001;;1;TRUE;pc-6.0
51;AAA017c016;AAA026f001;;2;TRUE;pc-6.0
52;AAA017c016;AAA025f001;AAA001u001;3;TRUE;pc-6.0
53;AAA017c016;AAA024f001;AAA001u001;4;TRUE;pc-6.0
54;AAA017c016;AAA605f001;AAA013u001;5;FALSE;pc-6.0
55;AAA018c002;AAA606f001;AAA013u001;1;FALSE;pc-6.0
56;AAA018c002;AAA605f001;AAA013u001;2;FALSE;pc-6.0
57;AAA018c002;AAA028f001;;3;TRUE;pc-6.0
58;AAA018c002;AAA029f001;;4;TRUE;pc-6.0
59;AAA018c002;AAA032f001;AAA001u001;5;TRUE;pc-6.0
60;AAA018c002;AAA030f001;AAA001u001;6;TRUE;pc-6.0
61;AAA018c002;AAA031f001;AAA001u001;7;TRUE;pc-6.0
62;AAA019c023;AAA606f001;AAA013u001;1;FALSE;pc-6.0
63;AAA019c023;AAA605f001;AAA013u001;2;FALSE;pc-6.0
