Klasse_ID;Parent_ID;Klassenbezeichnung;Hierarchieebene;Klassifikationssystem_ID
AAA446h002;;Arbeitssicherheit, Unfallschutz;1;pc-6.1
EAB004h003;AAA446h002;Absperrung;2;pc-6.1
EAB005c012;EAB004h003;Absperrband;3;pc-6.1
EAB099c013;EAB004h003;Absperrkette;3;pc-6.1
EAB006c006;EAB004h003;Absperrleinenhalter;3;pc-6.1
EAB007h002;EAB004h003;Absperrpfosten;3;pc-6.1
EAB009c005;EAB007h002;Schlüssel für Sperrpfosten;4;pc-6.1
EAB008c039;EAB007h002;Sperrpfosten;4;pc-6.1
EAB586c008;EAB004h003;Schnurpfahl;3;pc-6.1
EAB010c012;EAB004h003;Sperrbügel;3;pc-6.1
EAD187c001;EAB004h003;Wegeschranke;3;pc-6.1
AAA450h003;AAA446h002;Arbeitsbekleidung;2;pc-6.1
AAB550h002;AAA450h003;Allgemeine Arbeitsbekleidung;3;pc-6.1
AAB552c017;AAB550h002;Arbeitshose;4;pc-6.1
AAB551c017;AAB550h002;Arbeitsjacke;4;pc-6.1
AAB553c017;AAB550h002;Arbeitslatzhose;4;pc-6.1
AAB555c018;AAB550h002;Arbeitsmantel;4;pc-6.1
AAB562c017;AAB550h002;Arbeitsoverall;4;pc-6.1
AAB554c019;AAB550h002;Arbeitsweste;4;pc-6.1
EAA385c043;AAB550h002;Schürze;4;pc-6.1
EAC345c019;AAB550h002;Unterwäsche-Set;4;pc-6.1
EAB993c018;AAB550h002;Wathose;4;pc-6.1
AAB620h002;AAA450h003;Antistatikbekleidung;3;pc-6.1
EAA389c032;AAB620h002;Antistatik T-Shirt;4;pc-6.1
EAA387c044;AAB620h002;Antistatikhose;4;pc-6.1
EAA386c033;AAB620h002;Antistatikjacke;4;pc-6.1
EAA388c044;AAB620h002;Antistatiklatzhose;4;pc-6.1
AAB622c006;AAB620h002;Antistatikmantel;4;pc-6.1
AAB621c013;AAB620h002;Antistatikoverall;4;pc-6.1
AAB780h002;AAA450h003;Augenschutz, Gesichtsschutz;3;pc-6.1
AAB784c020;AAB780h002;Ersatzscheibe für Augenschutz, Gesichtsschutz;4;pc-6.1
AAB781c011;AAB780h002;Gesichtsschutzschild;4;pc-6.1
AAB782c034;AAB780h002;Schutzbrille;4;pc-6.1
AAB783c011;AAB780h002;Schutzschirm;4;pc-6.1
EAA390c020;AAB780h002;Zubehör für Gesichtsschutz;4;pc-6.1
