Schlagwort_ID;Schlagwortbezeichnung;Klassifikationssystem_ID
AAA001s001;Abisolierzangen;pc-6.1
AAB153s001;Abisolierzange;pc-6.1
AAB222s001;Zange;pc-6.1
AAE052s001;Schneidzange;pc-6.1
FAA000s001;Abisolier-/Abmantelwerkzeug;pc-6.1
FAA001s001;Abisolierer;pc-6.1
FAA002s001;Abisolierwerkzeug;pc-6.1
FAA003s001;Abmantelwerkzeug;pc-6.1
FAA004s001;Abmantelzange;pc-6.1
FAA005s001;Automatische Abisolierzange;pc-6.1
FAA006s001;Kabelstripper;pc-6.1
FAA007s001;Präzisions-Abisolierer;pc-6.1
FAA008s001;Stripzange;pc-6.1
AAA004s001;Abisolier-Seitenschneider;pc-6.1
AAA005s001;Seitenschneider;pc-6.1
AAE087s001;Elektriker-Seitenschneider;pc-6.1
AAE088s001;Elektriker-Seiten-Schneider;pc-6.1
AAM209s001;Elektrikerseitenschneider;pc-6.1
AAB247s001;Flachzange;pc-6.1
AAE002s001;Standardzangen;pc-6.1
AAE004s001;Greifzange;pc-6.1
AAE006s001;Standardzange;pc-6.1
AAE141s001;Langbeckzange;pc-6.1
AAE144s001;Langbeckzangen;pc-6.1
AAB644s001;Rundzange;pc-6.1
AAE160s001;Langbeck-Rundzange;pc-6.1
AAM196s001;Langbeck-Rundzangen;pc-6.1
AAB618s001;Justierzange;pc-6.1
AAA029s001;Diamant-Trennscheiben;pc-6.1
AAA031s001;Trennscheiben;pc-6.1
AAA032s001;Diamantscheiben;pc-6.1
AAA033s001;Schleifscheiben;pc-6.1
AAB209s001;Diamantscheibe;pc-6.1
AAB210s001;Diamant-Trennscheibe;pc-6.1
AAB211s001;Schleifscheibe;pc-6.1
AAB212s001;Trennscheibe;pc-6.1
AAN367s001;Diamanttrennschleifscheibe;pc-6.1
AAA034s001;Klein-Schleifmopp;pc-6.1
AAA035s001;Fächerschleifer;pc-6.1
AAA036s001;Lamellenschleifer;pc-6.1
AAA335s001;Kleinschleifmopp;pc-6.1
AAA037s001;Fächerschleifscheiben;pc-6.1
AAA038s001;Schleifmoppteller;pc-6.1
AAA043s001;Flächenschleifscheiben;pc-6.1
AAB229s001;Fächerschleifscheibe;pc-6.1
AAB230s001;Flächenschleifscheibe;pc-6.1
AAC175s001;Polifan-Scheibe;pc-6.1
AAC176s001;Polifan-Scheiben;pc-6.1
AAA039s001;Fiberscheiben;pc-6.1
AAA040s001;Vulkanfiberscheiben;pc-6.1
AAA041s001;Fiberschleifscheiben;pc-6.1
AAA042s001;Schleiffiberscheiben;pc-6.1
AAB238s001;Fiberscheibe;pc-6.1
AAB239s001;Schleiffiberscheibe;pc-6.1
AAB240s001;Vulkanfiberscheibe;pc-6.1
AAB589s001;Fiberschleifscheibe;pc-6.1
AAA044s001;Stützteller;pc-6.1
AAA045s001;Gummiteller;pc-6.1
AAA046s001;Klettscheiben;pc-6.1
AAA047s001;Haftscheiben;pc-6.1
AAB286s001;Haftscheibe;pc-6.1
AAB287s001;Klettscheibe;pc-6.1
AAN369s001;Klettschleifscheibe;pc-6.1
AAN370s001;Klettronde;pc-6.1
AAN371s001;Ronden für Marmorierkörper;pc-6.1
AAA048s001;Haft-Stützteller;pc-6.1
AAA049s001;Klettteller;pc-6.1
AAA050s001;Haftstützteller;pc-6.1
AAN372s001;Marmorierkörperhalter;pc-6.1
AAN373s001;Klettrondenhalter;pc-6.1
AAA051s001;Schleifklötze;pc-6.1
AAA052s001;Handklötze;pc-6.1
AAA053s001;Schleiffix-Handklötze;pc-6.1
AAB291s001;Schleiffix-Handklotz;pc-6.1
AAB292s001;Schleifklotz;pc-6.1
AAB609s001;Handklotz;pc-6.1
AAN374s001;Poliflex-Block;pc-6.1
AAN375s001;Poliflex-Block-Sortiment;pc-6.1
AAA054s001;Schleifbänder;pc-6.1
AAB646s001;Schleifband;pc-6.1
AAN376s001;Schleifhülse;pc-6.1
AAN526s001;Schleifvlies Bänder;pc-6.1
AAN528s001;Schleifvlies Rolle;pc-6.1
EAK513s001;Schleifband für Bandschleifer;pc-6.1
AAA030s001;Schleifmittel;pc-6.1
AAA055s001;Flintpapiere;pc-6.1
AAA056s001;Scheiben;pc-6.1
AAA057s001;Finishingpapiere;pc-6.1
AAA058s001;Schleifblätter;pc-6.1
AAA059s001;Braunkörper;pc-6.1
AAA060s001;Blaukörper;pc-6.1
AAA061s001;Streifen;pc-6.1
AAA062s001;Schleifpapiere;pc-6.1
AAB463s001;Scheibe;pc-6.1
AAB464s001;Finishingpapier;pc-6.1
AAB465s001;Flintpapier;pc-6.1
AAB466s001;Schleifblatt;pc-6.1
AAB467s001;Schleifpapier;pc-6.1
AAN377s001;Blattware;pc-6.1
AAN378s001;Schleifkissen;pc-6.1
AAN379s001;Polivlies;pc-6.1
AAN380s001;Schleifkissenpolivlies;pc-6.1
AAN381s001;Combidisc;pc-6.1
AAN382s001;Atadisc;pc-6.1
AAA063s001;Schleifmopp;pc-6.1
AAA064s001;Fächerräder;pc-6.1
AAA065s001;Lamellenräder;pc-6.1
AAA066s001;Lamellenscheiben;pc-6.1
AAA067s001;Fächerscheiben;pc-6.1
AAA336s001;Schleifmopräder;pc-6.1
AAB468s001;Fächerrad;pc-6.1
AAB469s001;Fächerscheibe;pc-6.1
AAB470s001;Lamellenrad;pc-6.1
AAB471s001;Lamellenscheibe;pc-6.1
AAB472s001;Schleifmoprad;pc-6.1
AAN383s001;Schleifrad;pc-6.1
