KlasseMerkmalWert_Nr;KlasseMerkmal_Nr;Wert_ID;Sortier_Nr_Wert_de;Klassifikationssystem_ID
1;1;AAD025v001;1;pc-7.0
2;1;AAD038v001;2;pc-7.0
3;1;AAA270v001;3;pc-7.0
4;4;AAD025v001;1;pc-7.0
5;4;AAD038v001;2;pc-7.0
6;4;AAA270v001;3;pc-7.0
7;7;EAH001v001;1;pc-7.0
8;7;AAD025v001;2;pc-7.0
9;7;AAD038v001;3;pc-7.0
10;7;AAA270v001;4;pc-7.0
11;13;EAC055v001;1;pc-7.0
12;13;AAA270v001;2;pc-7.0
13;14;EAC056v001;1;pc-7.0
14;14;AAA270v001;2;pc-7.0
15;15;AAA568v001;1;pc-7.0
16;15;AAA270v001;2;pc-7.0
17;17;AAA067v001;1;pc-7.0
18;17;AAA270v001;2;pc-7.0
19;28;AAA091v001;1;pc-7.0
20;28;AAA270v001;2;pc-7.0
21;34;AAA298v001;1;pc-7.0
22;34;AAA326v001;2;pc-7.0
23;34;AAA291v001;3;pc-7.0
24;34;AAA270v001;4;pc-7.0
25;38;AAA112v001;1;pc-7.0
26;38;AAA025v001;2;pc-7.0
27;38;AAA270v001;3;pc-7.0
28;45;AAA112v001;1;pc-7.0
29;45;AAA025v001;2;pc-7.0
30;45;AAA067v001;3;pc-7.0
31;45;AAA270v001;4;pc-7.0
32;50;AAA112v001;1;pc-7.0
33;50;AAA025v001;2;pc-7.0
34;50;AAA270v001;3;pc-7.0
35;51;AAA661v001;1;pc-7.0
36;51;AAA594v001;2;pc-7.0
37;51;AAA270v001;3;pc-7.0
38;51;AAA008v001;4;pc-7.0
39;53;AAA298v001;1;pc-7.0
40;53;AAA326v001;2;pc-7.0
41;53;AAA270v001;3;pc-7.0
42;56;AAA025v001;1;pc-7.0
43;56;AAA067v001;2;pc-7.0
44;56;AAA270v001;3;pc-7.0
45;58;AAE374v001;1;pc-7.0
46;58;EAB813v001;2;pc-7.0
47;58;AAA270v001;3;pc-7.0
48;59;EAH001v001;1;pc-7.0
49;59;AAA270v001;2;pc-7.0
50;63;AAA112v001;1;pc-7.0
51;63;AAA067v001;2;pc-7.0
52;63;AAA270v001;3;pc-7.0
53;72;EAC851v001;1;pc-7.0
54;72;EAH002v001;2;pc-7.0
55;72;EAH003v001;3;pc-7.0
56;72;AAA270v001;4;pc-7.0
57;73;AAC721v001;1;pc-7.0
58;73;AAC701v001;2;pc-7.0
59;73;AAA665v001;3;pc-7.0
60;73;AAB169v001;4;pc-7.0
61;73;AAB170v001;5;pc-7.0
62;73;AAC711v001;6;pc-7.0
63;73;AAC715v001;7;pc-7.0
64;73;AAA270v001;8;pc-7.0
65;75;AAA415v001;1;pc-7.0
66;75;AAA297v001;2;pc-7.0
67;75;AAA298v001;3;pc-7.0
68;75;AAA302v001;4;pc-7.0
69;75;AAC712v001;5;pc-7.0
