Merkmal_ID;Merkmalbezeichnung;Datentyp;Klassifikationssystem_ID
AAA358f001;Farbe;alphanumerisch;pc-7.0
AAA003f001;Gewicht;numerisch;pc-7.0
AAA031f001;Höhe;numerisch;pc-7.0
AAA002f001;Länge;numerisch;pc-7.0
EAB141f001;Gliederstärke;numerisch;pc-7.0
AAA344f001;UV-beständig;logisch;pc-7.0
AAA081f001;Gesamtlänge;numerisch;pc-7.0
AAA026f001;Ausführung;alphanumerisch;pc-7.0
AAB435f001;Befestigungsart;alphanumerisch;pc-7.0
EAB663f001;Höhe über Flur;numerisch;pc-7.0
AAB223f001;Material;alphanumerisch;pc-7.0
AAA032f001;Durchmesser;numerisch;pc-7.0
EAF001f001;Reflektierend;logisch;pc-7.0
AAA040f001;Breite;numerisch;pc-7.0
AAA472f001;Tiefe;numerisch;pc-7.0
AAC312f001;Maschenbreite;numerisch;pc-7.0
EAF002f001;Maschenhöhe;numerisch;pc-7.0
AAB222f001;Oberfläche;alphanumerisch;pc-7.0
EAF003f001;Übersteigschutz;logisch;pc-7.0
EAF004f001;Seitenlänge;numerisch;pc-7.0
EAF005f001;Tagesleuchtend;logisch;pc-7.0
EAF006f001;Anzahl der reflektierenden Ringe;numerisch;pc-7.0
EAF007f001;Mit Blitzleuchte;logisch;pc-7.0
EAF008f001;Anzahl der Reflektoren;alphanumerisch;pc-7.0
EAA702f001;Mit Reflektor;logisch;pc-7.0
AAB358f001;Gesamtbreite;numerisch;pc-7.0
EAA073f001;Art des Zubehörs;alphanumerisch;pc-7.0
AAA022f001;Größe;alphanumerisch;pc-7.0
EAF009f001;Kragenweite;numerisch;pc-7.0
EAE037f001;Ausführung flammwidrig;logisch;pc-7.0
EAF010f001;Kurzarm;logisch;pc-7.0
AAB996f001;Materialzusammensetzung;alphanumerisch;pc-7.0
AAB748f001;Materialgewicht;numerisch;pc-7.0
AAA984f001;Geschlecht;alphanumerisch;pc-7.0
AAB132f001;Größe (EUR);numerisch;pc-7.0
AAB133f001;Größe (USA);alphanumerisch;pc-7.0
AAA702f001;Norm;alphanumerisch;pc-7.0
AAB753f001;Materialbindung;alphanumerisch;pc-7.0
AAA990f001;Abriebfestigkeit nach EN 530 M2;numerisch;pc-7.0
AAA992f001;Berstfestigkeit nach ISO 2960;numerisch;pc-7.0
AAA480f001;Einweg;logisch;pc-7.0
AAA993f001;Nahtstärke nach ISO 5082;numerisch;pc-7.0
AAA991f001;Trapezreißfestigkeit nach ISO 9073-4;numerisch;pc-7.0
AAA994f001;Antistatisch nach EN 1149-1;logisch;pc-7.0
AAA996f001;Waschbar;logisch;pc-7.0
AAA498f001;Befestigung;alphanumerisch;pc-7.0
EAA890f001;Elektrooptisch;logisch;pc-7.0
AAA495f001;Schutzstufe nach DIN/EN;numerisch;pc-7.0
AAA496f001;Sichtscheibenklasse;numerisch;pc-7.0
AAA497f001;Verwendungsbereich nach EN 166;alphanumerisch;pc-7.0
EAA887f001;Sichtscheibenmaterial;alphanumerisch;pc-7.0
EAA888f001;Sichtscheibenfarbe;alphanumerisch;pc-7.0
EAA889f001;Schweißerschutzbrille;logisch;pc-7.0
AAA036f001;Dicke;numerisch;pc-7.0
AAB831f001;Max. Temperatur;numerisch;pc-7.0
AAA196f001;Typ;alphanumerisch;pc-7.0
EAA891f001;Einlage;logisch;pc-7.0
AAA973f001;Geschlossen;logisch;pc-7.0
EAA892f001;Beschichtung;logisch;pc-7.0
AAA765f001;Schutzkategorie;alphanumerisch;pc-7.0
AAA766f001;Zusätzliche Schutzfunktion;alphanumerisch;pc-7.0
AAA767f001;Damen/Herren;alphanumerisch;pc-7.0
AAA768f001;Obermaterial;alphanumerisch;pc-7.0
AAA769f001;Futtermaterial;alphanumerisch;pc-7.0
AAA770f001;Sohle;alphanumerisch;pc-7.0
AAA771f001;Brandsohle;alphanumerisch;pc-7.0
AAA772f001;Verschlussart;alphanumerisch;pc-7.0
AAA706f001;Min. Größe;numerisch;pc-7.0
AAA707f001;Max. Größe;numerisch;pc-7.0
AAA773f001;Mit Spitzenschutz/Überkappe;logisch;pc-7.0
AAA197f001;Inhalt;numerisch;pc-7.0
EAC409f001;Farbneutral;logisch;pc-7.0
AAA704f001;Mit Lebensmittelzulassung;logisch;pc-7.0
EAE223f001;Profilierung;logisch;pc-7.0
AAA339f001;Anwendungsbereich;alphanumerisch;pc-7.0
AAB602f001;Beschichtungsstärke;numerisch;pc-7.0
AAA711f001;Innenausführung;alphanumerisch;pc-7.0
AAA708f001;Penetration;numerisch;pc-7.0
AAA710f001;Kennzeichnung mit Piktogramm;logisch;pc-7.0
AAA719f001;Gepudert;logisch;pc-7.0
AAA720f001;Stulpenende mit Rollrand;logisch;pc-7.0
AAA406f001;Kategorie;alphanumerisch;pc-7.0
AAB619f001;Klasse;alphanumerisch;pc-7.0
AAA709f001;Profilierung;alphanumerisch;pc-7.0
AAA351f001;Gewicht pro Meter;numerisch;pc-7.0
EAB116f001;Max. Hitzeschutz;numerisch;pc-7.0
EAB697f001;Mit Isolation;logisch;pc-7.0
AAA722f001;Anatomische Form;logisch;pc-7.0
AAA721f001;Steril;logisch;pc-7.0
AAA723f001;Reinraumklasse;numerisch;pc-7.0
AAB596f001;Anzahl der Finger;numerisch;pc-7.0
AAA405f001;Beschichtung;alphanumerisch;pc-7.0
AAA703f001;Beschichtungsstärke (Schutzhandschuh mechanisch);alphanumerisch;pc-7.0
AAA716f001;Mit Futter;logisch;pc-7.0
AAA715f001;Kontaktkälte;alphanumerisch;pc-7.0
AAA714f001;Kontaktwärme;alphanumerisch;pc-7.0
AAA712f001;Schweißerarbeiten;logisch;pc-7.0
AAA713f001;Strahlungswärme;alphanumerisch;pc-7.0
